Q. No,QuestionType,Blooms Category,Difficulty Level,Topic,QuestionText,MultipleAnswer Allowed,Option1,CA - 1,Option2,CA - 2,Option3,CA - 3,Option4,CA - 4,Option5,CA - 5,Error Flag
14,MULTICHOICE,Application,Average,SDLC Integration & Automation Design,A client wants to integrate Devin into their Planning phase of the SDLC for technical research. Which pattern is MOST appropriate?,N,"Use Ask Devin or single-agent sessions with research-oriented prompts that produce markdown reports analyzing codebases, dependencies, or architecture options",1,Configure event-driven triggers from the project management tool to spawn Devin sessions for every new epic,,Set up a parent-child campaign to parallelize research across all planned features,,Have Devin join sprint planning meetings via calendar integration,,,,N
15,MULTICHOICE,Application,Average,SDLC Integration & Automation Design,"An architect must design a multi-phase automation pipeline: (1) nightly SAST scan detects findings, (2) findings are triaged by severity, (3) HIGH/CRITICAL findings trigger immediate remediation sessions, (4) MEDIUM findings are batched for weekly remediation. Which design correctly implements this?",N,Scheduled nightly session runs scan → webhook on completion posts findings to a triage Lambda → Lambda routes HIGHs immediately to Devin API and queues MEDIUMs → weekly cron drains the MEDIUM queue to batch Devin sessions,1,"Single nightly Devin session that scans, triages, and remediates all findings sequentially in one long-running session",,"Two independent schedules: one nightly for HIGH remediation, one weekly for MEDIUM — both run their own scans",,"A parent session that spawns a child for every finding regardless of severity, with the children self-triaging",,,,N
16,MULTICHOICE,Application,Average,SDLC Integration & Automation Design,"A client's SDLC includes a manual deployment approval gate. They want Devin to prepare the deployment artifact and IaC changes, but NOT execute the deployment. How should the architect design this integration?",N,Devin session generates IaC changes and deployment manifest in a PR → human approves and merges → existing CD pipeline (not Devin) executes the deployment,1,"Devin applies the IaC changes to a staging environment, then waits for human approval before applying to production",,Devin creates a separate deployment session that hibernates until the human triggers it via API,,Configure Devin with deployment credentials but add a Knowledge note saying 'never deploy without asking',,,,N
17,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,"A client's CI pipeline takes 45 minutes to complete. When Devin opens a PR and CI fails, the feedback loop is nearly an hour. The architect needs to reduce iteration time. Which approach is MOST architecturally sound?",N,"Configure the environment blueprint to run the relevant test subset locally before pushing, so CI failures are caught in seconds rather than waiting for the full pipeline",1,Parallelize all CI jobs to reduce the pipeline from 45 to 15 minutes,,Have Devin push directly to main to skip the PR CI check,,Disable CI checks for Devin-created PRs and rely on local test results only,,,,N
18,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,A development team has both a staging environment and a production environment. Devin is triggered by a SAST finding in production code. The architect must decide where Devin should validate its fix. Which analysis is CORRECT?,N,"Devin should validate locally on its VM (unit tests, lint, SAST re-scan) and via CI on the PR branch — never directly against production or staging, as the PR merge + CD pipeline handles deployment",1,Devin should deploy the fix to staging first to validate against production-like data,,Devin should run integration tests against the production environment to ensure the fix works in real conditions,,Devin should validate only in CI since local tests cannot replicate the production finding,,,,N
19,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,An automation triggers a Devin session whenever a PR is opened by a developer. Devin reviews the PR and may open a fix PR if it finds bugs. A colleague points out this could create a loop: Devin's fix PR triggers another review session. What is the ROOT CAUSE of this risk?,N,"The automation rule does not filter events by PR author — it treats Devin's own PRs the same as developer PRs, creating a recursive trigger",1,Devin Review is configured to open fix PRs instead of just commenting,,The trigger fires on PR opened events instead of PR merged events,,The webhook endpoint does not validate the event signature,,,,N
20,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,"A client wants Devin integrated into every SDLC phase. The architect proposes: Planning (research sessions), Implementation (coding sessions), Testing (test generation), Deployment (IaC PRs), Operations (scheduled maintenance). A reviewer argues this over-automates the Design phase. Which analysis BEST evaluates this concern?",N,The concern is valid — the proposal correctly excludes novel architecture design from automation because it requires subjective human judgment that cannot be verified by tests; research assistance in Planning is appropriate but Design decisions remain human,1,The concern is invalid — Devin can design systems as effectively as humans since it has access to all code and documentation,,The concern is partially valid — Devin should do the design but present three options for humans to choose from,,"The concern is invalid because the proposal already excludes Design by only listing Planning, Implementation, Testing, Deployment, and Operations",,,,N
21,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,"An architect is evaluating two trigger architectures for CI failure remediation: (A) Direct webhook from CI to Devin API, (B) CI webhook → intermediary Lambda → Devin API. Which analysis of option B's advantages is MOST accurate?",N,"The intermediary allows filtering (ignore flaky tests), enrichment (attach relevant logs), rate limiting (max retries), and format normalization — all without modifying the CI system or Devin's prompt structure",1,The intermediary adds unnecessary latency and a single point of failure without meaningful benefit,,The intermediary is only needed if the CI system cannot make HTTPS calls directly,,The intermediary is required because the Devin API does not accept webhook payloads,,,,N
22,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,"A team has configured Devin to respond to incident alerts. After deployment, they notice that a single flapping alert (firing and resolving repeatedly) spawns dozens of Devin sessions. Which safeguard was missing from the architecture?",N,"A maximum retry/session count per trigger source within a time window, combined with deduplication logic that groups rapid-fire alerts for the same incident",1,A Knowledge note telling Devin to ignore repeated alerts,,A longer hibernation timeout so Devin does not respond too quickly,,Alert suppression at the monitoring tool level that prevents all alerts during business hours,,,,N
23,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,A client's SDLC has a mandatory code review requirement: all changes must be reviewed by at least two human engineers before merge. An architect proposes adding Devin Review as one of the two required reviewers. Which analysis of this proposal is MOST accurate?,N,"Devin Review should supplement but not replace a human reviewer count — it catches different classes of issues (logic errors, security) but cannot evaluate architectural fit, team conventions, or business context the way a human reviewer can",1,Devin Review is superior to human review and should count as both required reviews since it is more consistent,,Devin Review should never be part of the required review process because it is not a human,,Devin Review can replace one human reviewer only for PRs under 100 lines of changes,,,,N
24,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,"An architect notices that a client's automation creates a Devin session for every single Jira ticket transition, including status changes like 'In Review' → 'Done'. Most of these sessions produce no useful output. What is the architectural problem?",N,"The trigger filter is too broad — it should only fire on specific transitions (e.g., 'To Do' → 'In Progress' with a 'Devin:Implementation' label) rather than all status changes",1,Devin should be configured to recognize irrelevant triggers and self-terminate without action,,The Jira webhook should be replaced with a polling mechanism that checks every hour,,The automation should be disabled and replaced with manual session creation only,,,,N
25,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,Two integration patterns are proposed for a client: (A) Devin as a CI step that runs after tests pass — it generates documentation and opens a separate PR; (B) Devin triggered by PR merge event — it generates documentation in a follow-up PR. Which analysis of the trade-offs is CORRECT?,N,"Pattern B is superior because it decouples documentation from the development PR lifecycle, avoids blocking CI completion, and triggers only on merged code (confirmed changes) rather than potentially abandoned PRs",1,"Pattern A is superior because it runs documentation generation earlier, before code reaches main",,Both patterns are equivalent since documentation is generated from the same code regardless of when it triggers,,Pattern A is superior because it ensures documentation is always in sync with the PR that generated it,,,,N
26,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,"A client has a monorepo with 15 services. They want Devin to only run tests relevant to the changed service, not the full test suite. The CI takes 90 minutes for the full suite. Which architectural decision BEST addresses this?",N,"Configure the environment blueprint to include a test-selection script that determines affected services from the git diff and runs only those tests locally — Devin executes this before pushing, catching most issues in seconds",1,Have Devin always run the full test suite to ensure no cross-service regressions,,Split the monorepo into 15 separate repositories so each CI pipeline is faster,,Configure CI to run all 15 service tests in parallel on the PR branch after Devin pushes,,,,N
27,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,A client wants to automate their entire bug-fix workflow: bug report submitted → Devin implements fix → PR opened → CI passes → auto-merge. An architect objects to the final step. Which analysis BEST supports the objection?,N,"Auto-merge violates the principle that the merge decision always belongs to a human — the PR is the review gate and audit point, and removing human approval eliminates the safety mechanism that prevents incorrect or incomplete fixes from reaching production",1,Auto-merge is fine for bug fixes since they have clear acceptance criteria (tests pass),,"The objection is about ACU cost, not safety — auto-merge means Devin does not hibernate while waiting for review",,Auto-merge is acceptable only if Devin Review is configured as an additional check,,,,N
28,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,A client asks why they should use Devin's event-driven pattern instead of a simple cron job that runs a remediation script. Which analysis BEST differentiates the two approaches?,N,"A cron job runs the same commands every time regardless of context. Devin's intelligent agent reads context, makes decisions about implementation approach, adapts when things fail, verifies its work through tests and CI, and communicates results via PRs — the same workflow a human engineer follows",1,There is no meaningful difference — both execute code on a schedule,,Devin is more expensive and therefore only justified for complex tasks,,A cron job cannot run on a schedule while Devin can,,,,N
29,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,"An architect is designing webhook topology for a client with 3 SAST tools, 2 CI systems, and 4 issue trackers. A junior architect proposes building a dedicated integration for each tool-to-Devin connection (3+2+4 = 9 integrations). What is the fundamental design flaw?",N,"It violates the toolchain-agnostic stub pattern — the architect should define normalized interface contracts per category (security findings, build failures, work items) and build 3 category adapters that transform any tool's output into the standard format, reducing 9 integrations to 3 canonical trigger paths",1,Nine integrations is too many for one person to maintain — the team should prioritize the most important 3,,Each integration needs its own Lambda function which increases cloud costs,,The junior architect should build a single universal adapter that handles all 9 tools identically,,,,N
30,MULTICHOICE,Analysis,Average,SDLC Integration & Automation Design,A client reports that Devin sessions triggered by their alerting system often fail because the alert does not contain enough context for Devin to diagnose the issue. Which architectural improvement addresses this?,N,"Add an enrichment step in the trigger layer that queries the monitoring system for recent logs, metrics, and traces related to the alert, then includes this context in the Devin session prompt",1,Configure Devin with more Knowledge notes about common alert types,,Increase the session timeout so Devin has more time to investigate,,Route all alerts through a human triage step before invoking Devin,,,,N
31,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,"A financial services client needs an end-to-end SDLC integration: ticket assignment triggers implementation, PR opens automatically, Devin Review provides first-pass review, human reviews second, CI must pass including security scans, and the merged code triggers deployment to staging. Design the complete trigger chain.",N,Jira webhook (ticket tagged) → trigger Lambda → Devin API (implementation session) → PR opened → Devin Review auto-triggered → human review → CI (tests + SAST) passes → merge → CD webhook → staging deployment pipeline executes independently,1,Jira webhook → Devin implements and deploys to staging in one session → human reviews in staging → PR is retroactively opened for audit,,Scheduled nightly session reads all new tickets → implements in batch → opens PRs → auto-merges if CI passes → deploys to staging,,Human manually creates Devin session per ticket → Devin implements → human deploys after review,,,,N
32,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,"Design an automation architecture where: (1) A developer opens a PR, (2) Devin Review identifies potential bugs, (3) If bugs are found, a remediation session automatically opens a fix PR targeting the developer's branch, (4) The developer sees both the review comments and the fix PR. Include safeguards.",N,"PR opened event → Devin Review runs → if findings exist: automation creates a remediation session targeting the developer's branch (not main) → Devin opens fix PR into the developer's branch → safeguards: filter out PRs authored by devin-ai-integration[bot], max 1 remediation per source PR, idempotency key = source PR number",1,PR opened → Devin Review → Review comments trigger a new event → Devin session reads comments and pushes commits to the same PR → no separate fix PR needed,,PR opened → Devin clones the PR branch → rewrites the entire branch → force pushes the rewritten branch → developer sees updated PR,,"PR opened → Devin Review → if bugs found, close the original PR and open a new corrected PR → developer reviews the replacement",,,,N
33,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,"A client wants a progressive automation maturity path: Phase 1 (manual triggers only), Phase 2 (event-driven for security), Phase 3 (full SDLC integration with scheduled maintenance). Design the Phase 2 architecture that builds toward Phase 3.",N,"Phase 2: SAST webhook → normalized findings adapter (toolchain-agnostic stub) → Devin API with idempotency + retry limits → PR with remediation → human review. Build the adapter pattern and safeguards now so Phase 3 reuses the same trigger infrastructure for additional event sources (CI, tickets, schedules)",1,Phase 2: Install SAST CLI on Devin VM → scheduled session runs scan and fixes everything → no webhook needed. Rebuild completely for Phase 3,,Phase 2: SAST emails findings to a shared inbox → manual forward to Devin → gradual automation later,,Phase 2: Build all Phase 3 infrastructure immediately but only enable the security triggers — the cost is the same either way,,,,N
34,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,Design a feedback loop architecture where Devin's PR quality improves over time: engineer reviews identify common issues → those patterns are codified → future sessions automatically avoid those patterns. What components are needed?,N,PR review comments are analyzed periodically → recurring patterns are extracted and added as Knowledge notes with appropriate scope/triggers → Devin automatically retrieves relevant Knowledge notes in future sessions → the context layer compounds quality over time,1,Configure Devin Review to watch for the same patterns human reviewers flag and auto-reject PRs that contain them,,Build a custom ML model trained on PR review history that pre-screens Devin's code before it creates PRs,,Have a senior engineer manually update the Devin prompt template every sprint with new rules,,,,N
35,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,"A client needs Devin integrated into their incident management workflow: alert fires → Devin investigates → produces root cause analysis → if fix is safe, opens PR → if fix is risky, escalates to on-call with analysis. Design the decision architecture.",N,"Alert webhook → enrichment layer (attach logs/metrics via MCP) → Devin session prompt includes investigation + classification criteria → Devin's session uses connected observability tools to investigate → if diagnosis yields a low-risk code fix (test-verifiable), opens PR → if high-risk or infrastructure-level, posts analysis to incident channel via Slack/Teams MCP and escalates to human",1,Alert → Devin always opens a fix PR regardless of risk → human decides whether to merge or reject,,Alert → human on-call triages and decides whether to invoke Devin → Devin only implements if explicitly told to,,"Alert → Devin attempts fix → if CI fails 3 times, posts to Slack that it cannot resolve the issue",,,,N
36,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,Design a multi-repo SDLC integration where changes to a shared library automatically trigger dependent service validation: shared lib PR merges → all consuming services are tested against the new version → incompatibilities are auto-remediated.,N,"Shared lib merge event → webhook triggers parent Devin session → parent identifies all dependent services from a dependency manifest → spawns child sessions per service (bump version, run tests) → children that encounter breaking changes attempt auto-remediation → children open PRs → parent monitors and reports aggregate status",1,Configure CI on each dependent repo to trigger when the shared lib repo has a new commit → CI failures email the team → team manually asks Devin to fix,,Shared lib PR includes changes to all dependent services in the same PR → monolithic approach ensures everything is validated together,,Schedule a weekly job that bumps the shared lib version across all services simultaneously,,,,N
37,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,"A client with a microservices architecture wants Devin to manage their entire Operations SDLC phase: dependency monitoring, dead code detection, documentation freshness, and incident response. Design the scheduling and trigger topology.",N,"Four automation configurations: (1) Weekly cron → parent session for dependency updates across all services (child per service), (2) Monthly cron → dead code analysis per service, (3) PR merge event → documentation refresh session for the changed service, (4) Alert webhook → incident investigation session with MCP access to observability tools — each with appropriate safeguards (idempotency, retry limits, author filtering)",1,One daily mega-session that sequentially performs all four tasks across all services,,"Four separate Devin organizations, one per operational concern, to maintain separation",,A single always-running Devin session that monitors all systems continuously,,,,N
38,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,"A client needs a deployment verification pattern: after CD deploys to staging, Devin should run smoke tests and either approve or raise an issue. If approved, the CD pipeline should proceed to production. Design this integration.",N,CD staging deployment completion → webhook → Devin session runs smoke test suite against staging endpoint → if pass: Devin calls CD API to approve production gate (or updates a status check) → if fail: Devin opens a GitHub issue with failure details and blocks the pipeline gate,1,"Devin deploys to staging itself, then runs tests, then deploys to production if tests pass — all in one session",,CD pipeline includes Devin as a step that runs inline within the pipeline executor,,Scheduled session checks staging health every 5 minutes and files issues when something is wrong,,,,N
39,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,"Design a test generation strategy integrated into the SDLC: whenever a developer opens a PR without adequate test coverage, Devin automatically generates tests for the new code and opens a companion PR.",N,PR opened event → coverage analysis job (CI step or standalone) calculates coverage delta → if below threshold: automation triggers Devin session with the diff and target coverage → Devin generates tests following existing patterns → opens companion PR targeting the developer's branch → author filter prevents triggering on Devin's own companion PRs,1,"Devin Review comments on the PR requesting the developer add tests → if ignored for 24 hours, Devin generates them",,Pre-commit hook prevents pushing without 80% coverage → developer must write tests locally before Devin can review,,Weekly scheduled session scans all PRs merged without tests and retroactively adds test PRs against main,,,,N
40,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,"A regulated client requires that every automated code change includes traceability: the triggering event, the session that produced it, the tests that validated it, and the approver who merged it. Design the traceability architecture.",N,Trigger layer logs event ID → Devin session URL is embedded in PR description → CI results are linked as status checks on the PR → merge requires human approval (recorded in Git history) → audit trail spans: event log → session log → PR → CI → merge commit author — all linked through the event/session/PR ID chain,1,Add a compliance database that records every Devin action independently from the PR system,,Require Devin to write a CHANGELOG entry for every change with full event context,,Configure the trigger layer to CC the compliance team email on every event,,,,N
41,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,Design a blue-green testing pattern where Devin validates a migration by running both old and new implementations and comparing outputs before the client commits to the new system.,N,Devin session runs the original system with test inputs → captures outputs as golden files → runs the migrated system with the same inputs → programmatically compares outputs → PR includes the migration code + comparison report + any discrepancies highlighted → human reviews parity evidence before merging,1,"Devin migrates the code, runs tests on the new version only, and opens a PR — the team trusts passing tests as equivalence proof",,Deploy both old and new systems to staging in parallel → Devin monitors production traffic split between them for a week,,Devin translates the code and the team manually compares outputs in a spreadsheet,,,,N
42,MULTICHOICE,Synthesis,Difficult,SDLC Integration & Automation Design,"A client wants to build a self-healing CI pipeline: when tests become flaky (pass/fail intermittently), Devin should automatically identify and fix the root cause. Design the detection-to-remediation architecture.",N,"CI system tracks test result history → when a test flips pass/fail N times in M runs, a 'flaky test' event fires → trigger layer invokes Devin with test name + recent failure logs + relevant source files → Devin analyzes timing dependencies, race conditions, or environmental assumptions → opens PR with fix + idempotency key = test name to prevent duplicate sessions for the same flaky test",1,"Configure Devin to re-run failed tests 3 times — if they pass on retry, mark them as flaky and skip them",,Scheduled weekly session that deletes all tests that failed more than once in the past week,,Devin monitors CI dashboards via browser automation and identifies visual patterns in test results,,,,N
43,MULTICHOICE,Evaluation,Difficult,SDLC Integration & Automation Design,"An architect proposes integrating Devin at every SDLC gate: requirement analysis, design review, implementation, testing, deployment, and monitoring. A senior engineer argues this creates over-dependency on a single platform. Evaluate the senior engineer's concern.",N,"The concern is valid — the architecture should use the toolchain-agnostic stub pattern so each gate's automation can function independently of Devin if needed, and human processes remain viable fallbacks. Over-integration creates a single point of failure",1,The concern is invalid — Devin is designed to be embedded at every SDLC phase and its reliability makes single-point-of-failure concerns obsolete,,The concern is only valid for production deployment — all other phases can safely depend entirely on Devin,,The concern is valid but the mitigation is to run two Devin organizations in active-passive failover,,,,N
44,MULTICHOICE,Evaluation,Difficult,SDLC Integration & Automation Design,"Evaluate the following SDLC integration proposal: 'All developer PRs should be blocked from merge until Devin Review approves them, replacing one of the two required human reviewers.' What is the STRONGEST argument against this?",N,"Devin Review excels at detecting logic errors and security issues but cannot evaluate architectural fit, business context, naming conventions in context, or team-specific design philosophy — replacing a human reviewer removes a qualitative judgment layer that automated analysis cannot replicate",1,Devin Review is too slow and would create a bottleneck in the merge process,,Regulatory requirements always mandate two human reviewers regardless of automated tooling,,"Devin Review would approve too many PRs, reducing the team's merge standards",,,,N
45,MULTICHOICE,Evaluation,Difficult,SDLC Integration & Automation Design,"A client implemented event-driven triggers for every possible event (CI failure, PR opened, commit pushed, branch created, issue commented). After a month, they report 'automation fatigue' — too many low-value sessions and PRs. Evaluate the root cause and prescribe a solution.",N,"The root cause is triggering on events without qualifying their value — the solution is to add severity/relevance filters at the trigger layer (only CRITICAL SAST findings, only CI failures on protected branches, only tickets with explicit Devin labels) and implement quiet hours or throttling to batch low-priority triggers",1,The solution is to disable all event-driven triggers and switch to manual invocation only,,The root cause is that Devin produces low-quality PRs — improving prompt quality will eliminate fatigue,,The solution is to hire a dedicated person to manage the Devin automation queue full-time,,,,N
46,MULTICHOICE,Evaluation,Difficult,SDLC Integration & Automation Design,"Evaluate the maturity of this SDLC integration: Devin sessions are triggered manually by developers pasting prompts, there is no shared context configuration, and each developer writes their own prompts with different conventions. What level would you assess and what is the highest-value improvement?",N,"This is ad-hoc maturity (lowest level). The highest-value improvement is investing in the shared context layer — Knowledge notes for coding standards, environment blueprints for consistent builds, and Playbooks for recurring tasks — because this creates compounding value across all future sessions regardless of which developer triggers them",1,This is moderate maturity — the improvement is to add more developers to increase session volume,,This is acceptable maturity for a team just starting — no changes needed until they outgrow manual triggers,,The highest-value improvement is purchasing more ACUs so sessions run faster,,,,N
47,MULTICHOICE,Evaluation,Difficult,SDLC Integration & Automation Design,Two architects disagree on where verification should happen in the SDLC: Architect A says Devin should verify locally on its VM (fast feedback) and only use CI as a final confirmation. Architect B says Devin should skip local testing and rely entirely on CI (single source of truth). Evaluate both positions.,N,"Architect A's position is superior — local verification provides a seconds-fast feedback loop enabling rapid iteration, while CI serves as the authoritative gate. This matches Devin's verification model: local testing first, CI monitoring after push, iterate if CI fails. Architect B's approach wastes 45+ minutes per iteration cycle",1,"Architect B's position is superior — CI is the single source of truth and local tests may diverge from the CI environment, creating false confidence",,Both positions are equally valid depending on the CI pipeline duration,,Neither is correct — Devin should verify against a staging environment instead of local or CI,,,,N
48,MULTICHOICE,Evaluation,Difficult,SDLC Integration & Automation Design,A client wants to measure the ROI of their SDLC automation investment. They propose measuring 'number of Devin sessions per week' as the primary KPI. Evaluate this metric.,N,"Session count is a poor primary KPI because it measures activity, not value. Better metrics include: PRs merged (output), MTTR reduction (speed), findings remediated (security posture), engineering hours freed (capacity), and first-pass success rate (quality). Volume without quality can indicate wasted ACUs on low-value triggers",1,Session count is a reasonable primary KPI because higher volume directly correlates with higher value delivered,,Session count should be combined with ACU spend for a complete ROI picture,,The best KPI is customer satisfaction score since engineering metrics are too technical for leadership,,,,N
49,TRUEFALSE,Evaluation,Difficult,SDLC Integration & Automation Design,An architect who designs all SDLC automations to fire-and-forget (trigger Devin and never check the outcome) has a fundamentally sound architecture because Devin's verification model handles quality internally.,N,True,,False,1,,,,,,,N
50,MULTICHOICE,Evaluation,Difficult,SDLC Integration & Automation Design,Evaluate the following claim: 'Event-driven Devin integration completely eliminates the need for scheduled sessions because every action can be triggered by an event.' Is this accurate?,N,"This is incorrect — scheduled sessions serve a different purpose: proactive maintenance tasks (dependency freshness, dead code cleanup, coverage monitoring) have no external event to trigger them. They are time-driven, not event-driven. Both patterns are complementary, not substitutes",1,"This is correct — any scheduled task can be reframed as triggered by a 'time elapsed' event, making schedules unnecessary",,This is mostly correct but scheduled sessions are still needed for cost optimization (batching during off-peak hours),,This is correct for mature organizations but startups still need scheduled sessions due to fewer event sources,,,,N
51,TRUEFALSE,Knowledge,Easy,Platform Architecture & Execution Model,The following statement is correct: Active → Waiting for feedback → Hibernated → Resumed,N,True,1,False,,,,,,,,N
52,TRUEFALSE,Knowledge,Easy,Platform Architecture & Execution Model,"Each Devin session runs on its own isolated virtual machine — a separate VM per session, not a shared server.",N,True,1,False,,,,,,,,N
53,MULTICHOICE,Knowledge,Easy,Platform Architecture & Execution Model,Which components make up Devin's shared context layer that persists across sessions?,Y,Environment configurations (VM blueprints),0.2,Knowledge notes,0.2,Playbooks,0.2,MCP servers,0.2,Secrets and Git connections,0.2,N
54,TRUEFALSE,Knowledge,Easy,Platform Architecture & Execution Model,"The following statement is correct: A full Linux VM with shell, browser, desktop, and the ability to install packages, run builds, and connect to remote systems",N,True,1,False,,,,,,,,N
55,TRUEFALSE,Knowledge,Easy,Platform Architecture & Execution Model,"Devin's VM boots from a pre-configured snapshot defined by the organization's environment blueprint, meaning sessions start with dependencies already installed.",N,True,1,False,,,,,,,,N
56,TRUEFALSE,Knowledge,Easy,Platform Architecture & Execution Model,The following statement is correct: ACU-based (Agent Compute Units) — you pay for active compute time only; hibernated sessions do not consume ACUs,N,True,1,False,,,,,,,,N
57,TRUEFALSE,Knowledge,Easy,Platform Architecture & Execution Model,The following statement is correct: Local testing on VM → Push to branch → CI monitoring and iteration → PR as review gate → External validation (optional),N,True,1,False,,,,,,,,N
