Q. No,QuestionType,Blooms Category,Difficulty Level,Topic,QuestionText,MultipleAnswer Allowed,Option1,CA - 1,Option2,CA - 2,Option3,CA - 3,Option4,CA - 4,Option5,CA - 5,Error Flag
18,TRUEFALSE,Comprehension,Average,Prompt Engineering & Task Delegation,A prompt that asks Devin to 'implement the pricing logic Sarah described in yesterday's meeting' is ineffective because Devin cannot access information from verbal conversations.,N,True,1,False,,,,,,,,N
19,MULTICHOICE,Comprehension,Average,Prompt Engineering & Task Delegation,What does it mean when we say a prompt should define 'verifiable outcomes'?,N,"The prompt specifies success criteria that can be objectively confirmed, such as tests passing or scans being clean",1,The prompt must include a list of human reviewers,,The outcomes must be verified by a second AI agent,,The prompt must reference a third-party auditing tool,,,,N
20,MULTICHOICE,Comprehension,Average,Prompt Engineering & Task Delegation,A team notices that Devin consistently produces suboptimal results. They have been writing prompts like 'Update the service.' What is the most likely root cause?,N,"The prompts lack specificity — no repo, paths, acceptance criteria, or verification mechanism",1,Devin's underlying model is not powerful enough,,The team's codebase is too complex for any AI agent,,The team needs to upgrade to a higher pricing tier,,,,N
21,TRUEFALSE,Application,Easy,Prompt Engineering & Task Delegation,"When writing a prompt for Devin, including the command to run tests (e.g., 'npm test' or './gradlew check') helps the agent verify its own work before opening a PR.",N,True,1,False,,,,,,,,N
22,MULTICHOICE,Application,Easy,Prompt Engineering & Task Delegation,A developer needs Devin to fix a null pointer exception. Which prompt element is most critical to include?,N,"The specific method, file path, and trigger condition for the exception",1,The developer's name,,The date the bug was discovered,,A screenshot of the error,,,,N
23,MULTICHOICE,Application,Easy,Prompt Engineering & Task Delegation,You want Devin to generate unit tests for a Python module with 45% coverage. What should the prompt include?,N,"The module path, target coverage percentage, and a reference test file for conventions",1,Just 'write more tests',,Only the module name,,The complete source code pasted into the prompt,,,,N
24,MULTICHOICE,Application,Average,Prompt Engineering & Task Delegation,A team wants Devin to upgrade a Spring Boot application. Which prompt provides the best acceptance criteria?,N,'Upgrade from Spring Boot 2.7 to 3.2. Migrate javax to jakarta namespace. All existing tests must pass. Document breaking changes in the PR description.',1,'Upgrade Spring Boot to the latest version.',,'Make the app use a newer framework version.',,'Update dependencies and fix any issues.',,,,N
25,MULTICHOICE,Application,Average,Prompt Engineering & Task Delegation,You need Devin to remediate security vulnerabilities found by a SAST scan. Which prompt element is most critical?,N,"Specifying the scan tool, severity threshold, and verification method (re-run the scan)",1,Asking Devin to fix all the security issues,,Telling Devin to be careful with security,,Providing a list of general security best practices,,,,N
26,MULTICHOICE,Application,Average,Prompt Engineering & Task Delegation,You want to run a parallel campaign upgrading Angular across 3 repos. How should the prompt be structured?,N,"Create a consistent base prompt with repo-specific details: same upgrade pattern, same acceptance criteria, but each prompt names its specific repo",1,Write one prompt and hope the agent figures out which repos to target,,Ask the agent to upgrade all Angular versions across the organization,,Write a single prompt listing all 3 repos in one session,,,,N
27,MULTICHOICE,Application,Average,Prompt Engineering & Task Delegation,A developer is crafting a prompt for Devin to add a CRUD feature. Which combination of elements creates the strongest prompt?,N,"Feature name, data model fields, API endpoint patterns, reference to existing codebase conventions, and backend test requirements",1,Just the feature name and a rough description,,A wireframe image and no text instructions,,A link to a similar feature in a different programming language,,,,N
28,MULTICHOICE,Application,Average,Prompt Engineering & Task Delegation,"When writing a prompt for Devin to fix a flaky test, which detail is most important to include?",N,"The specific test name, file path, the intermittent error message, and conditions under which it fails",1,A general request to fix all flaky tests in the project,,The number of times the test has failed this week,,A request to delete the flaky test and replace it,,,,N
29,MULTICHOICE,Application,Average,Prompt Engineering & Task Delegation,A team lead wants to create a prompt template for recurring dependency updates. Which elements should the template include?,N,"Target repo, update scope (minor/patch only), build/test verification commands, rollback instructions for breaking upgrades, and documentation format",1,Just the repo name and 'update dependencies',,A list of all current dependency versions,,Instructions to always upgrade to the latest major version,,,,N
30,MULTICHOICE,Application,Average,Prompt Engineering & Task Delegation,A developer wants Devin to add API documentation. Which prompt produces the most useful result?,N,'Update API documentation in docs/api/ to reflect the new endpoints added in the last 3 PRs. Follow the existing OpenAPI spec format.',1,'Write API docs.',,'Document everything in the project.',,'Create a Word document with API descriptions.',,,,N
31,MULTICHOICE,Application,Average,Prompt Engineering & Task Delegation,You need Devin to investigate a performance issue where an API endpoint takes 10 seconds to respond. How should you structure the prompt?,N,"Specify the endpoint, the expected response time, ask for profiling and root cause analysis, and request a fix with before/after benchmarks",1,Tell Devin the API is slow and ask it to make it faster,,Ask Devin to rewrite the entire endpoint from scratch,,Tell Devin to add caching to every database query,,,,N
32,MULTICHOICE,Application,Difficult,Prompt Engineering & Task Delegation,A developer wants Devin to translate SAS ETL jobs to Python. Which prompt component ensures correctness verification?,N,'Validate that output DataFrames match the expected CSVs in test_data/expected/' — specifying golden-file parity testing,1,'Make sure the Python code works' — trusting the agent's judgment,,'Run the Python scripts and check for errors' — only checking for exceptions,,'Compare the line count of input and output files' — basic validation only,,,,N
33,MULTICHOICE,Application,Difficult,Prompt Engineering & Task Delegation,A prompt reads: 'Refactor the auth module.' How should this be restructured for better results?,N,"Decompose into stages: first 'Analyze the auth module and list all public methods, callers, and circular dependencies as a markdown report,' then have a human review, then 'Extract methods X, Y, Z into token_service.py and update all callers.'",1,Add 'please' to the beginning and 'thank you' to the end,,Add more technical jargon to make it sound professional,,Replace 'refactor' with 'improve' for clarity,,,,N
34,MULTICHOICE,Application,Difficult,Prompt Engineering & Task Delegation,A prompt asks: 'Implement the billing system based on the architecture diagram in Confluence.' What should the developer add to make this actionable for Devin?,N,"Export the relevant details from Confluence into a markdown specification document, then reference that document in the prompt with specific file paths and acceptance criteria",1,Nothing — Devin can browse Confluence via MCP servers,,Tell Devin to screenshot the Confluence page,,Copy the image URL into the prompt,,,,N
35,MULTICHOICE,Application,Difficult,Prompt Engineering & Task Delegation,A developer writes: 'Create a microservice for the Comments domain.' What critical prompt elements are missing?,N,"Source repo/monolith location, target framework, database type, API contract specification, inter-service communication pattern, Docker/containerization requirements, and integration test criteria",1,Nothing is missing — the prompt is sufficiently clear,,Only the programming language is missing,,Only the deployment target is missing,,,,N
36,MULTICHOICE,Analysis,Easy,Prompt Engineering & Task Delegation,Why is 'Increase the font size of the dashboard title to 24px and add 16px padding between cards' a better prompt than 'Make the dashboard look better'?,N,"It converts a subjective judgment into objective, measurable changes that the agent can implement and verify",1,"It is simply longer, and longer prompts are always better",,It uses CSS-specific terminology,,It focuses on the frontend only,,,,N
37,MULTICHOICE,Analysis,Easy,Prompt Engineering & Task Delegation,Examine the gray-zone task decomposition pattern: agent research → human decision → agent implementation → human review. Why is the human decision step essential?,N,Some tasks require subjective judgment about approach and trade-offs that the agent cannot make — the human contributes judgment at the decision points,1,It is a bureaucratic requirement with no practical benefit,,The agent cannot do research without human approval,,It reduces the cost of the session,,,,N
38,MULTICHOICE,Analysis,Average,Prompt Engineering & Task Delegation,Compare these two prompts: (A) 'Fix the bug in the user service' and (B) 'Fix the 500 error on GET /api/users/:id when the user has no profile. The endpoint is in src/controllers/userController.ts. Tests are in tests/user.test.ts.' Which analysis is correct?,N,"Prompt B is superior because it narrows the agent's search space, specifies the error condition, and provides verification targets",1,Both prompts will produce the same result since Devin is intelligent enough,,Prompt A is better because it gives the agent more creative freedom,,Prompt B is too restrictive and will prevent the agent from finding related bugs,,,,N
39,MULTICHOICE,Analysis,Average,Prompt Engineering & Task Delegation,A team's Devin sessions frequently produce PRs that miss edge cases. What is the most likely prompt deficiency?,N,The prompts lack specific acceptance criteria and constraints that define edge case handling,1,The team's codebase is too complex for Devin,,Devin's model needs to be upgraded,,The team is using the wrong programming language,,,,N
40,MULTICHOICE,Analysis,Average,Prompt Engineering & Task Delegation,A developer's prompt resulted in Devin modifying 47 files across 12 directories when only 3 files needed changes. What prompt element was likely missing?,N,Scope constraints specifying which files or directories should be modified,1,A request for the agent to be more careful,,The developer's preferred code editor,,A maximum time limit for the session,,,,N
41,MULTICHOICE,Analysis,Average,Prompt Engineering & Task Delegation,A team notices that their Devin sessions often require 3-4 rounds of PR feedback to get to an acceptable state. Which prompt improvement would have the biggest impact?,N,Including more detailed acceptance criteria and constraints upfront to reduce the need for iterative feedback,1,Switching to a different AI provider,,Running more parallel sessions,,Asking the agent to write longer PR descriptions,,,,N
42,MULTICHOICE,Analysis,Average,Prompt Engineering & Task Delegation,Compare a prompt that specifies 'must use library Y' versus one that says 'use whatever library you think is best.' When is each approach more appropriate?,N,Specifying the library is better when the team has existing conventions; leaving it open is appropriate only for greenfield exploration where the agent's recommendation will be reviewed,1,Always specify the library to prevent unexpected dependencies,,Never specify the library to give the agent maximum flexibility,,The choice makes no difference to the output quality,,,,N
43,MULTICHOICE,Analysis,Difficult,Prompt Engineering & Task Delegation,"Analyze why the prompt 'Design the data model for our new billing system' is NOT suitable for Devin, while 'Implement the billing data model defined in docs/billing-schema.md using SQLAlchemy with Alembic migrations' IS suitable.",N,The first requires creative architecture decisions with unarticulated trade-offs; the second has a concrete spec to implement against with verifiable outcomes,1,The first is too short; the second is long enough,,The first uses the word 'design' which Devin cannot process,,Both are equally suitable; the classification is wrong,,,,N
44,MULTICHOICE,Analysis,Difficult,Prompt Engineering & Task Delegation,A prompt for a code migration says 'Translate all SAS jobs to Python.' The resulting PRs have inconsistent coding styles. What prompt improvement would address this?,N,"Add a reference to existing Python conventions or a specific file to follow as a pattern: 'Follow the patterns in src/etl/example_job.py for naming, structure, and error handling'",1,Ask the agent to use prettier formatting,,Tell the agent to write all code in a single file,,Increase the session timeout,,,,N
45,MULTICHOICE,Analysis,Difficult,Prompt Engineering & Task Delegation,A developer provides a prompt with 15 detailed sub-tasks in a single session. Devin completes 10 correctly but makes errors on the remaining 5. What does this suggest about prompt structure?,N,The prompt scope was too large for a single session; it should be decomposed into multiple focused sessions with clear boundaries,1,Devin can only handle 10 tasks maximum,,The first 10 tasks were easier than the last 5,,The developer should have watched the session in real time,,,,N
46,MULTICHOICE,Synthesis,Difficult,Prompt Engineering & Task Delegation,Design a prompt template for a parent agent that will spawn child agents to remediate security findings across 50 repos. What elements must the template include?,N,"A reusable playbook reference, per-repo scan tool command, severity threshold, verification re-scan command, rollback instructions, and a reporting format for the parent to aggregate results",1,Just the list of 50 repos and 'fix security issues',,A single prompt that names all 50 repos in one session,,A template with only the repo name as a variable,,,,N
47,MULTICHOICE,Synthesis,Difficult,Prompt Engineering & Task Delegation,Create a multi-stage prompt strategy for migrating a monolith to microservices where architectural decisions require human judgment.,N,"Stage 1 (agent): Analyze domain boundaries and produce a dependency report. Stage 2 (human): Review report, decide which context to extract. Stage 3 (agent): Implement extraction with specified patterns, Dockerfile, tests. Stage 4 (human): Review PR and approve.",1,A single prompt: 'Convert the monolith to microservices',,Stage 1: Extract everything. Stage 2: Fix what broke.,,Stage 1 (human): Write all the code. Stage 2 (agent): Review it.,,,,N
48,MULTICHOICE,Synthesis,Difficult,Prompt Engineering & Task Delegation,A team wants to build a prompt library for recurring Devin tasks. What organizational structure and metadata should each prompt template include?,N,"Task category, target tech stack, required inputs (repo, paths, thresholds), acceptance criteria template, verification commands, known limitations, and a version history for iterative refinement",1,Just the prompt text and a name,,The prompt text and the name of the developer who wrote it,,A folder of prompts sorted alphabetically,,,,N
49,MULTICHOICE,Evaluation,Difficult,Prompt Engineering & Task Delegation,Evaluate whether this prompt is suitable for Devin: 'Review the team's recent architectural decisions and recommend improvements to our microservices communication patterns.',N,"Not suitable — it requires subjective judgment about architecture trade-offs, team context from undocumented conversations, and there is no verifiable success criterion",1,Suitable — Devin can read code and make architecture recommendations,,Suitable — Devin has access to DeepWiki which contains architecture information,,Partially suitable — Devin can do the review but not the recommendation,,,,N
50,MULTICHOICE,Evaluation,Difficult,Prompt Engineering & Task Delegation,A junior developer argues that adding more detail to prompts wastes time because Devin should be smart enough to figure things out. Evaluate this position.,N,"Incorrect — prompt specificity directly determines output quality because it reduces ambiguity, narrows the search space, and provides verifiable targets; the time invested in a good prompt saves multiple rounds of PR feedback",1,Correct — modern AI agents do not need detailed prompts,,Partially correct — detail only matters for complex tasks,,Correct — the agent's intelligence compensates for vague prompts,,,,N
51,TRUEFALSE,Knowledge,Easy,Session Management & Execution,"The four states in a Devin session lifecycle are Active, Waiting for feedback, Hibernated, and Resumed.",N,True,1,False,,,,,,,,N
52,MULTICHOICE,Knowledge,Easy,Session Management & Execution,What happens to a Devin session's VM when the session hibernates?,N,The VM state is snapshoted and compute resources are released; context is preserved,1,The VM is permanently deleted,,The VM continues running but stops accepting commands,,The VM is transferred to another user,,,,N
53,TRUEFALSE,Knowledge,Easy,Session Management & Execution,Cloud Devin sessions run on isolated VMs managed by Cognition's cloud infrastructure.,N,True,1,False,,,,,,,,N
54,MULTICHOICE,Knowledge,Easy,Session Management & Execution,Which interface does Devin CLI use for local development?,N,The terminal/command line on the developer's machine,1,A web browser only,,A mobile application,,A dedicated hardware device,,,,N
55,MULTICHOICE,Knowledge,Easy,Session Management & Execution,What is the billing metric for Devin sessions?,N,ACU (Agent Compute Unit) — based on active compute time,1,Per line of code generated,,Monthly flat rate per developer,,Per PR opened,,,,N
56,TRUEFALSE,Knowledge,Easy,Session Management & Execution,"A Devin cloud session persists across the entire lifecycle of a task, surviving laptop closes and spanning multiple days.",N,True,1,False,,,,,,,,N
57,TRUEFALSE,Knowledge,Average,Session Management & Execution,A hibernated Devin session resumes automatically on a timer regardless of whether new input has arrived.,N,True,,False,1,,,,,,,N
58,MULTICHOICE,Knowledge,Average,Session Management & Execution,How does Devin CLI transfer work to a cloud session?,N,"Using the /handoff command, which packages conversation context and current git branch into a new cloud session",1,By emailing the code to the cloud service,,By pushing code to a shared branch that the cloud session watches,,Devin CLI cannot transfer work to cloud sessions,,,,N
59,TRUEFALSE,Knowledge,Average,Session Management & Execution,Devin sessions consume compute resources even while waiting for human review feedback.,N,True,,False,1,,,,,,,N
60,MULTICHOICE,Knowledge,Average,Session Management & Execution,What is Devin Desktop?,N,A next-generation AI IDE built on VS Code that provides both local and cloud agent management in a single interface,1,A desktop widget that shows Devin session notifications,,A standalone app for viewing Devin PRs,,A virtual desktop environment running in the cloud,,,,N
61,MULTICHOICE,Comprehension,Easy,Session Management & Execution,Explain why cloud Devin is described as 'a team member receiving an assignment' rather than 'a tool you pick up.',N,"Because it works independently on its own VM, retrieves its own context, makes implementation decisions, verifies its work, and delivers finished artifacts — like a team member, not a passive tool",1,Because it requires a salary and benefits,,Because it attends sprint planning meetings,,Because it can only work on tasks assigned by a manager,,,,N
62,MULTICHOICE,Comprehension,Easy,Session Management & Execution,What is the difference between Devin Local in Devin Desktop and Devin CLI?,N,"They share the same agent harness — Devin Local runs inside the Devin Desktop IDE while Devin CLI runs in the terminal, but both operate on local files",1,Devin Local is a cloud agent; Devin CLI is a local agent,,Devin CLI is faster because it has no UI,,Devin Local can only edit files; Devin CLI can also run commands,,,,N
63,TRUEFALSE,Comprehension,Easy,Session Management & Execution,"Local agents and cloud agents share the same underlying agent harness, ensuring consistent reasoning and tool use across both execution tiers.",N,True,1,False,,,,,,,,N
64,MULTICHOICE,Comprehension,Easy,Session Management & Execution,What does it mean that Devin cloud sessions provide 'reproducibility from scratch'?,N,"Every session starts from the same base image, eliminating 'works on my machine' drift because the environment is codified and versioned",1,The agent writes the same code every time given the same prompt,,Sessions can be replayed like a video recording,,The agent reinstalls the OS at the start of each session,,,,N
65,MULTICHOICE,Comprehension,Average,Session Management & Execution,Why does Devin hibernate sessions instead of keeping VMs running during review periods?,N,To avoid wasting compute resources during idle periods while preserving full session context for instant resume,1,Because the technology cannot keep VMs running for extended periods,,To force developers to review PRs faster,,Because hibernation improves the quality of the agent's code,,,,N
66,MULTICHOICE,Comprehension,Average,Session Management & Execution,What is the significance of Devin's session timeline for the user?,N,"It provides transparency into every action the agent took, replacing the need for real-time oversight",1,It is a billing record showing how much the session cost,,It is a chat log between the user and agent,,"It records only the final output, not intermediate steps",,,,N
67,MULTICHOICE,Comprehension,Average,Session Management & Execution,Why is watching a Devin session in real time described as 'time wasted'?,N,Because the agent works autonomously — the developer could be doing other work and review the output when it arrives via PR,1,Because the session timeline is delayed by several hours,,Because real-time viewing slows down the agent,,Because the session cannot be viewed in real time,,,,N
68,MULTICHOICE,Comprehension,Average,Session Management & Execution,How does session continuity benefit multi-day code review workflows?,N,"The session preserves full context across hibernation and resume cycles, so Devin can respond to review feedback days later without losing any conversation history",1,It forces reviewers to complete their review within 24 hours,,It automatically merges the PR after a set number of days,,It creates a new session for each round of review feedback,,,,N
69,MULTICHOICE,Comprehension,Average,Session Management & Execution,Why does each cloud Devin session start from a pre-configured snapshot rather than a clean OS installation?,N,"Snapshots include pre-installed dependencies, runtimes, and tools from VM blueprints, enabling sessions to start building immediately without installation delays",1,Because clean installations are not supported by the platform,,To save storage space on the server,,Because snapshots include the developer's personal settings,,,,N
70,TRUEFALSE,Comprehension,Difficult,Session Management & Execution,The /handoff command in Devin CLI transfers only the conversation context but not the current git branch state to the cloud session.,N,True,,False,1,,,,,,,N
71,TRUEFALSE,Application,Easy,Session Management & Execution,A developer can close their laptop after starting a Devin cloud session and the session will continue working autonomously.,N,True,1,False,,,,,,,,N
72,MULTICHOICE,Application,Easy,Session Management & Execution,A developer wants to quickly fix a typo in a README. Which session type is most appropriate?,N,"Devin CLI or Devin Local — the scope is tiny, and a local fix is faster than spinning up a cloud session",1,A cloud Devin session for maximum quality assurance,,A parent-child orchestration to verify the fix across repos,,A scheduled session to fix typos weekly,,,,N
73,MULTICHOICE,Application,Average,Session Management & Execution,You have a bug report with clear reproduction steps and a failing test. Which session type is most appropriate?,N,"A cloud Devin session — the task is well-defined, verifiable, and the agent can work autonomously while you focus on other work",1,Devin CLI only — bugs should always be fixed locally,,A scheduled session — bugs should be fixed on a recurring cadence,,A parent-child session — you need multiple agents to fix one bug,,,,N
74,MULTICHOICE,Application,Average,Session Management & Execution,A developer wants to explore a new codebase and prototype an approach before committing to implementation. Which execution tier should they start with?,N,"Local agent (Devin CLI or Devin Local) for interactive exploration and prototyping, then /handoff to cloud for full implementation",1,Cloud Devin immediately — it handles everything,,Neither — this is a human-only task,,A scheduled session to explore the codebase overnight,,,,N
75,MULTICHOICE,Application,Average,Session Management & Execution,You are on-call and receive an incident alert. You want to triage locally while having the fix implemented autonomously. What workflow should you follow?,N,"Use Devin CLI to triage logs locally, then /handoff to cloud Devin with the diagnosis to implement and test the fix autonomously",1,Only use cloud Devin — never triage locally during incidents,,Only use Devin CLI — cloud Devin is too slow for incidents,,Wait for the incident to resolve itself before involving Devin,,,,N
76,MULTICHOICE,Application,Average,Session Management & Execution,A Devin session has opened a PR and is waiting for review. You leave a comment requesting changes 3 days later. What happens?,N,"Devin resumes from its hibernated state with full context preserved, reads the comment, and pushes new commits addressing the feedback",1,The session has expired and a new one must be started,,Devin ignores comments older than 24 hours,,The comment is queued and processed at the next scheduled maintenance window,,,,N
77,MULTICHOICE,Application,Average,Session Management & Execution,A developer has started working on a feature locally using Devin CLI but realizes it will take several hours. What should they do?,N,Use /handoff to transfer the work to a cloud Devin session that will continue autonomously while the developer moves on to other tasks,1,Continue working locally and wait for it to finish,,Restart the task from scratch in the cloud,,Save the code to a branch and create a manual cloud session,,,,N
78,MULTICHOICE,Application,Average,Session Management & Execution,You realize the cloud session you started is heading in the wrong direction. What is the appropriate way to intervene?,N,Leave a comment on the PR or send a message in the session with specific redirection instructions,1,Immediately terminate the session and start a new one,,There is no way to intervene once a session starts,,Call Cognition support to redirect the agent,,,,N
79,MULTICHOICE,Application,Difficult,Session Management & Execution,Your team needs to run 50 parallel upgrade sessions. How should you manage session monitoring?,N,"Use a parent agent to spawn 50 child sessions, with the parent monitoring progress and handling failures centrally",1,Manually open 50 browser tabs to watch each session,,Run all 50 upgrades sequentially in one session,,Assign each session to a different team member to watch,,,,N
80,MULTICHOICE,Application,Difficult,Session Management & Execution,A team wants to set up Devin to automatically fix CI failures on their main branch. Which session configuration is appropriate?,N,"An event-driven automation that triggers a new Devin session via webhook when a CI pipeline fails, passing the failure logs as context",1,A scheduled session that runs every 5 minutes to check for failures,,A permanently running session that monitors CI continuously,,A local agent that watches the CI dashboard,,,,N
81,MULTICHOICE,Comprehension,Easy,Session Management & Execution,Why is the PR described as the 'safety net' in the cloud agent workflow?,N,Because nothing reaches production without explicit human approval to merge — the agent proposes changes but the merge decision always belongs to a human,1,Because PRs automatically revert if there are any issues,,Because PRs prevent the agent from writing code,,Because PRs are reviewed by another AI agent before humans see them,,,,N
82,MULTICHOICE,Analysis,Average,Session Management & Execution,A team has adopted cloud Devin but their developers watch every session in real time. What impact does this have on team productivity?,N,It negates the primary benefit of autonomous execution — developers waste time watching instead of doing other work,1,It improves quality because human oversight catches more errors,,It has no impact — monitoring is free,,It speeds up the agent because it feels observed,,,,N
83,MULTICHOICE,Analysis,Average,Session Management & Execution,Why might a Devin session that has been running for 45 minutes without opening a PR be a normal situation rather than a problem?,N,Complex tasks like framework upgrades involve multiple build-test-fix cycles before the agent is confident enough to open a PR — this is expected autonomous behavior,1,45 minutes always indicates a stuck session,,The agent is likely in an infinite loop,,Normal sessions always open a PR within 15 minutes,,,,N
84,MULTICHOICE,Analysis,Average,Session Management & Execution,A developer reports that their cloud sessions always produce better results than their local agent sessions. What is the most likely explanation?,N,"Cloud sessions have access to the full shared context layer (Knowledge notes, Playbooks, Secrets, MCP servers) that local agents do not have",1,Cloud sessions use a more powerful AI model,,Local agents are intentionally limited in capability,,The developer spends more time writing prompts for cloud sessions,,,,N
85,MULTICHOICE,Analysis,Average,Session Management & Execution,A team uses Devin for both urgent incident response and long-running migration tasks. How should they manage session prioritization?,N,"Use event-driven triggers for incident response (immediate, reactive sessions) and scheduled or manually initiated sessions for migrations — they operate independently on separate VMs",1,Run incidents and migrations in the same session,,Pause migration sessions whenever an incident occurs,,Only handle one type of task at a time across the entire organization,,,,N
86,MULTICHOICE,Analysis,Difficult,Session Management & Execution,Compare the failure modes of treating a cloud agent like a local agent versus using it as intended.,N,"Treating it like a local agent leads to: watching in real time (wasted time), constant intervention (disrupted agent flow), small-scope tasks (underutilization), and staying in the editor (never delegating)",1,There is no difference in outcomes regardless of approach,,Treating it like a local agent actually produces better results,,The only consequence is slightly longer session times,,,,N
87,MULTICHOICE,Analysis,Difficult,Session Management & Execution,Analyze the trade-off between starting a new cloud session versus continuing to iterate on an existing session that has had 4 rounds of PR feedback.,N,"After several iterations, context may become cluttered; starting fresh with a refined prompt incorporating lessons from the failed iterations is sometimes more efficient than continuing to correct course",1,Always continue iterating — new sessions lose all context,,Always start fresh — multiple iterations indicate a fundamental problem,,The number of iterations has no bearing on session quality,,,,N
88,MULTICHOICE,Synthesis,Difficult,Session Management & Execution,"Design an onboarding workflow for a new team member learning to use Devin effectively, incorporating both local and cloud tiers.",N,Week 1: Use Devin CLI for code exploration and small fixes. Week 2: Practice /handoff from local to cloud for medium tasks. Week 3: Write cloud-first prompts for autonomous execution. Week 4: Set up scheduled sessions and event-driven triggers.,1,Day 1: Give them full access to all orchestration patterns immediately,,"Week 1-4: Only use cloud sessions, skip local agents entirely",,There is no need for onboarding — Devin is self-explanatory,,,,N
